Teman Dekat;;;;;;;;;;;;;;
Top 5000 Posts Overview;;;;;"Feb 1, 2026 - Feb 28, 2026";;;;;;"April 22, 2026";;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Date;Message;replies;Profile;Network;Impressions/views of posts;Number of Likes;Engagement;Number of Shares/Reposts/Quotes;Click-through rate (CTR);Message-ID;Profile-ID;Link;External Links;Image Link
06-Feb-26;"Puasa jangan sampe ada drama ION bocor! ????

Kalo kata bang @rhoma_official kurangi yang TER-LA-LU.
Sahur dengan minum POCARI SWEAT untuk #JagaIONTubuh selama berpuasa! #puasa #sahur https://t.co/plJVH38w9S";1;pocariID;TWITTER;815;2;"0,00%";1;-;2019756458028540145;121356723;http://x.com/121356723/status/2019756458028540145;;https://pbs.twimg.com/ext_tw_video_thumb/2019756369306599424/pu/img/2s3tA59uT_LORc2C.jpg
02-Feb-26;"@PAKKETIPAK Hai Kak, mohon maaf atas ketidaknyamanannya ya ????

Terkait kendala payment error, mohon ditunggu informasinya. Seluruh update dan arahan selanjutnya akan kami sampaikan melalui @PocariSportID.

Terima kasih atas pengertian dan kesabarannya.??";2;pocariID;TWITTER;317;0;"0,00%";0;-;2018242148400087047;121356723;http://x.com/121356723/status/2018242148400087047;;
02-Feb-26;"@pariskhairullah @oneofjeminai @bliblidotcom Hai Kak, mohon maaf atas ketidaknyamanannya ya ????

Terkait kendala payment error, mohon ditunggu informasinya. Seluruh update dan arahan selanjutnya akan kami sampaikan melalui @PocariSportID.

Terima kasih atas pengertian dan kesabarannya.??";3;pocariID;TWITTER;94;0;"0,00%";0;-;2018242114367406129;121356723;http://x.com/121356723/status/2018242114367406129;;
02-Feb-26;"@TakeVT_ POCARI SWEAT is best consumed as needed. 1 small bottle for daily activities, up to 1-2 after sweating, while water should still be your main daily hydration.";;pocariID;TWITTER;86;0;"0,00%";0;-;2018243802323128424;121356723;http://x.com/121356723/status/2018243802323128424;;
